         136450955 function calls (133398617 primitive calls) in 99.381 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   405369    0.817    0.000    2.012    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\_config\config.py:116(_get_single_key)
    59800    0.391    0.000    1.889    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\array_algos\take.py:120(_take_nd_ndarray)
   375569    0.507    0.000    1.873    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\generic.py:723(_set_axis)
    89598    0.395    0.000    1.805    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\indexes\base.py:5314(equals)
    59648    0.764    0.000    1.800    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\concat.py:33(concat_compat)
   560492    1.472    0.000    1.784    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\generic.py:265(__init__)
   978387    0.902    0.000    1.759    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\common.py:1494(_is_dtype_type)
   155123    0.798    0.000    1.746    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\generic.py:5931(__finalize__)
   399496    0.521    0.000    1.670    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\common.py:653(is_integer_dtype)
    59700    0.170    0.000    1.664    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\concat.py:641(_get_empty_dtype)
   244573    0.203    0.000    1.482    0.000 {method 'any' of 'numpy.ndarray' objects}
   530593    0.410    0.000    1.470    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\common.py:1631(validate_all_hashable)
    29849    0.166    0.000    1.459    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\indexes\api.py:194(union_indexes)
    59700    0.585    0.000    1.439    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\managers.py:2279(_merge_blocks)
   274323    0.438    0.000    1.376    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\common.py:1209(is_float_dtype)
   299700    0.862    0.000    1.330    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\numpy\core\numeric.py:274(full)
   375669    0.546    0.000    1.329    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\common.py:1244(is_bool_dtype)
   250346    0.583    0.000    1.316    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\numpy\core\_ufunc_config.py:33(seterr)
   244573    0.157    0.000    1.279    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\numpy\core\_methods.py:55(_any)
   142787    0.239    0.000    1.207    0.000 I:\csus\necs\NHSE BI\DCBI\Team Member Individual Folders\Madan\DES - Madan\DES - Madan\src\simulation.py:195(manage_birth_resource)
   625865    0.675    0.000    1.177    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\series.py:621(name)
   406118    0.330    0.000    1.174    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\indexes\base.py:7167(maybe_extract_name)
    59600    0.104    0.000    1.169    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\concat.py:661(<listcomp>)
    59800    0.437    0.000    1.155    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\array_algos\take.py:564(_take_preprocess_indexer_and_fill_value)
   375569    0.274    0.000    1.129    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\managers.py:223(set_axis)
   304469    0.307    0.000    1.125    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\common.py:158(is_object_dtype)
   244773    1.123    0.000    1.123    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    30450    0.087    0.000    1.101    0.000 {built-in method builtins.sorted}
   250996    0.285    0.000    1.092    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\warnings.py:165(simplefilter)
    89450    0.062    0.000    1.075    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\blocks.py:192(fill_value)
   119200    0.142    0.000    1.065    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\concat.py:420(dtype)
   179100    0.094    0.000    1.038    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\managers.py:2267(<lambda>)
   125173    0.212    0.000    1.033    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\missing.py:266(_isna_array)
   310046    0.319    0.000    1.025    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\indexes\api.py:367(default_index)
